account_id	loyalty_id	invested_date	initial_value	investor_type	current_value
001457	L38736	12APR1971	50	Deceased	1125
001474	L75606	20OCT1971	500	Individual	11250
001486	L146373	11SEP1971	500	Deceased	11250
001489	L96810	05JUL1971	100	Deceased	2250
001493	L80402	01JUN1971	1000	Individual	22500
001495	L162841	31JAN1972	200	Individual	4400
001500	L27246	31OCT1971	1000	Deceased	22500
001511	L147115	05SEP1971	200	Individual	4500
001513	L80048	15JUL1971	500	Individual	11250
001518	L97139	04APR1972	100	Individual	2200
001535	L157911	13MAY1971	500	Individual	11250
001580	L62216	31JUL1971	100	Group	2250
001590	L101046	30SEP1971	500	Individual	11250
001622	L73613	23OCT1971	200	Individual	4500
001624	L144923	14APR1972	500	Individual	11000
001628	L105660	19AUG1971	100	Individual	2250
001651	L82233	11FEB1972	100	Group	2200
001654	L33285	25DEC1971	200	Deceased	4500
001655	L151810	31JUL1971	100	Individual	2250
001661	L138744	03SEP1971	200	Individual	4500
001677	L101460	27JUL1971	50	Individual	1125
001678	L154392	13FEB1972	500	Deceased	11000
001698	L153405	26APR1972	500	Individual	11000
001700	L67743	19NOV1971	200	Individual	4500
001703	L129855	07JUL1971	100	Individual	2250
001717	L68093	23APR1972	100	Deceased	2200
001733	L124116	28JUL1971	100	Deceased	2250
001739	L85642	11JUN1972	500	Individual	11000
001751	L85619	23NOV1971	100	Individual	2250
001752	L149731	12APR1972	200	Deceased	4400
001754	L104181	30AUG1971	200	Deceased	4500
001781	L96373	05OCT1971	200	Deceased	4500
001783	L97766	20JUL1971	100	Individual	2250
001788	L67393	11MAY1972	100	Individual	2200
001793	L150252	04AUG1971	200	Individual	4500
001796	L144564	05FEB1972	200	Deceased	4400
001797	L129501	08OCT1971	200	Individual	4500
001807	L40786	23OCT1971	100	Deceased	2250
001826	L35131	17NOV1971	100	Individual	2250
001832	L155095	18NOV1971	200	Individual	4500
001855	L79829	26MAY1972	50	Individual	1100
001864	L126713	22JAN1972	100	Individual	2250
001867	L129898	25MAY1972	100	Individual	2200
001869	L122907	25JAN1972	500	Deceased	11250
001870	L148161	09JAN1972	100	Individual	2250
001914	L160304	10OCT1971	500	Individual	11250
001918	L156476	16OCT1971	50	Individual	1125
001920	L142970	11FEB1972	500	Deceased	11000
001930	L148729	06APR1972	500	Individual	11000
001932	L119150	17AUG1972	200	Deceased	4400
001933	L43935	17APR1972	100	Individual	2200
001970	L78665	18JUN1972	200	Individual	4400
001973	L74742	30JAN1972	500	Deceased	11250
001978	L120999	13OCT1971	100	Individual	2250
001994	L75722	24OCT1971	100	Deceased	2250
002003	L57927	29MAY1972	100	Individual	2200
002012	L30865	25JUN1972	500	Individual	11000
002016	L57442	15JAN1972	100	Individual	2250
002025	L143635	11MAR1972	500	Deceased	11000
002037	L93949	27MAY1972	200	Individual	4400
002061	L116411	26SEP1972	200	Individual	4400
002070	L80372	29MAY1972	200	Individual	4400
002081	L67628	29JUL1972	200	Deceased	4400
002085	L81159	31OCT1972	100	Individual	2200
002106	L38873	14OCT1972	200	Individual	4400
002116	L46974	03APR1972	100	Individual	2200
002118	L102583	02NOV1972	100	Deceased	2200
002133	L35271	01FEB1972	1000	Individual	22000
002157	L86763	16JAN1972	100	Deceased	2250
002165	L47209	23DEC1971	500	Individual	11250
002171	L39846	19OCT1972	100	Individual	2200
002180	L76295	11MAY1972	100	Individual	2200
002238	L27890	19APR1972	200	Individual	4400
002241	L106881	02JUN1972	500	Individual	11000
002255	L92500	15AUG1972	200	Deceased	4400
002272	L21885	03NOV1972	1000	Individual	22000
002274	L151450	08NOV1972	100	Deceased	2200
002276	L125216	11NOV1972	500	Individual	11000
002286	L36260	24JAN1972	50	Deceased	1125
002297	L49085	09FEB1972	500	Individual	11000
002306	L132373	07DEC1972	200	Individual	4400
002312	L150701	05JUL1972	50	Individual	1100
002313	L129221	11SEP1972	200	Individual	4400
002331	L114846	10JAN1973	200	Individual	4400
002339	L131015	21OCT1972	500	Individual	11000
002340	L29285	04JUL1972	50	Deceased	1100
002344	L75561	12APR1972	100	Deceased	2200
002348	L22899	15DEC1972	200	Group	4400
002372	L150592	22DEC1972	100	Individual	2200
002377	L141077	19MAR1972	500	Individual	11000
002385	L30969	15JUN1972	100	Deceased	2200
002406	L53726	07DEC1972	1000	Individual	22000
002407	L78549	17FEB1973	100	Individual	2150
002425	L85452	03MAY1972	50	Deceased	1100
002427	L151979	10JUL1972	500	Individual	11000
002434	L77638	02DEC1972	100	Individual	2200
002458	L109752	26OCT1972	200	Individual	4400
002468	L121034	28FEB1973	1000	Individual	21500
002493	L125301	04SEP1972	500	Deceased	11000
002516	L139328	20APR1972	100	Deceased	2200
002520	L79548	09NOV1972	200	Individual	4400
002532	L158431	27NOV1972	50	Individual	1100
002541	L23968	19JUL1972	50	Deceased	1100
002544	L120699	29MAY1972	100	Deceased	2200
002549	L163874	10SEP1972	100	Individual	2200
002553	L72360	21AUG1972	1000	Deceased	22000
002559	L30423	25JAN1973	100	Individual	2200
002560	L33637	07AUG1972	100	Individual	2200
002565	L152783	05DEC1972	200	Deceased	4400
002574	L57470	20NOV1972	1000	Individual	22000
002576	L48685	19MAR1973	200	Individual	4300
002577	L69936	11FEB1973	50	Individual	1075
002582	L107061	03AUG1972	100	Individual	2200
002583	L28436	24DEC1972	500	Individual	11000
002612	L111527	07MAR1973	100	Individual	2150
002621	L33612	06AUG1972	500	Individual	11000
002622	L30138	15DEC1972	100	Deceased	2200
002628	L165622	28MAY1973	200	Deceased	4300
002641	L56864	14DEC1972	500	Individual	11000
002646	L44286	11SEP1972	200	Individual	4400
002656	L114213	06DEC1972	500	Individual	11000
002658	L92476	25OCT1972	50	Individual	1100
002669	L57422	02MAY1973	500	Individual	10750
002675	L110320	20NOV1972	500	Individual	11000
002685	L64753	24MAY1973	200	Individual	4300
002691	L125821	10DEC1972	500	Individual	11000
002715	L56720	25OCT1972	500	Deceased	11000
002727	L79342	24FEB1973	200	Individual	4300
002735	L39924	20MAY1973	500	Individual	10750
002780	L75655	19JUL1973	200	Individual	4300
002782	L139038	30AUG1972	100	Individual	2200
002804	L27801	20OCT1972	50	Individual	1100
002810	L152626	10DEC1972	100	Deceased	2200
002813	L85388	25NOV1972	100	Individual	2200
002836	L98052	18AUG1973	500	Individual	10750
002845	L125985	02JUL1973	200	Individual	4300
002871	L92125	24JUN1973	100	Deceased	2150
002873	L119595	15MAY1973	100	Individual	2150
002886	L21800	23JAN1973	200	Individual	4400
002890	L168198	16JUL1973	500	Individual	10750
002899	L151254	21SEP1973	500	Individual	10750
002929	L136118	06NOV1972	200	Individual	4400
002948	L104098	07APR1973	500	Deceased	10750
002959	L150001	10OCT1973	100	Individual	2150
002968	L102518	08JAN1973	100	Individual	2200
003022	L48709	01SEP1973	200	Individual	4300
003030	L108069	28APR1973	100	Individual	2150
003042	L54116	17MAR1973	200	Individual	4300
003045	L164198	01SEP1973	500	Individual	10750
003049	L125569	11SEP1973	500	Deceased	10750
003050	L98847	30SEP1973	200	Individual	4300
003057	L99454	22DEC1973	100	Individual	2150
003077	L95299	17FEB1973	200	Individual	4300
003080	L154046	28DEC1972	500	Individual	11000
003107	L29407	20OCT1973	500	Individual	10750
003109	L133468	19JAN1973	100	Deceased	2200
003122	L97572	27APR1973	100	Individual	2150
003136	L32989	02FEB1973	1000	Group	21500
003150	L156729	16JUL1973	100	Deceased	2150
003176	L135061	26JUL1973	100	Individual	2150
003206	L77017	03JAN1974	100	Group	2150
003220	L30183	15JAN1974	50	Individual	1075
003234	L104883	08JUN1973	50	Deceased	1075
003238	L52546	26JAN1974	100	Individual	2150
003262	L64574	20FEB1974	200	Deceased	4200
003266	L94229	22FEB1974	200	Deceased	4200
003276	L85554	20MAY1973	100	Individual	2150
003281	L35391	10MAY1973	100	Deceased	2150
003284	L67831	10JUL1973	100	Individual	2150
003295	L141946	15NOV1973	100	Deceased	2150
003310	L64708	09MAY1973	100	Individual	2150
003313	L50191	24SEP1973	100	Individual	2150
003325	L59454	15JUN1973	500	Individual	10750
003327	L91780	05APR1973	200	Group	4300
003329	L63500	16JUL1973	100	Individual	2150
003330	L133169	05MAR1974	100	Individual	2100
003331	L86710	11APR1974	200	Individual	4200
003349	L121217	29DEC1973	100	Individual	2150
003377	L82243	09JAN1974	500	Individual	10750
003381	L87781	10MAR1974	50	Deceased	1050
003397	L39062	16MAY1974	100	Individual	2100
003408	L113682	06MAR1974	100	Individual	2100
003423	L126898	16NOV1973	100	Individual	2150
003428	L35856	08JAN1974	100	Individual	2150
003444	L42741	15MAR1974	100	Individual	2100
003449	L129365	21JUL1973	100	Deceased	2150
003452	L138445	17JUL1973	200	Individual	4300
003455	L148159	13SEP1973	200	Deceased	4300
003461	L116349	01MAY1974	100	Individual	2100
003469	L33840	18JUN1974	500	Individual	10500
003479	L123591	18AUG1973	1000	Individual	21500
003486	L135612	28DEC1973	200	Individual	4300
003491	L138180	04OCT1973	100	Deceased	2150
003497	L131787	03DEC1973	200	Deceased	4300
003504	L155118	28OCT1973	100	Group	2150
003507	L155199	16NOV1973	500	Individual	10750
003508	L164162	05MAR1974	100	Individual	2100
003510	L112167	08MAR1974	200	Deceased	4200
003536	L135000	08JAN1974	500	Individual	10750
003548	L88022	27JAN1974	100	Individual	2150
003550	L37730	18APR1974	1000	Individual	21000
003555	L37320	20DEC1973	100	Individual	2150
003558	L101585	17SEP1973	100	Individual	2150
003570	L113392	07FEB1974	200	Individual	4200
003571	L89673	10MAY1974	50	Individual	1050
003572	L163697	17JAN1974	200	Individual	4300
003593	L55938	03MAR1974	500	Individual	10500
003602	L124571	23APR1974	1000	Deceased	21000
003605	L132023	02NOV1973	1000	Individual	21500
003612	L102404	30OCT1973	50	Individual	1075
003628	L134761	24MAY1974	100	Individual	2100
003638	L113010	19AUG1974	50	Individual	1050
003640	L155363	15DEC1973	200	Deceased	4300
003655	L81652	30JAN1974	100	Individual	2100
003662	L106072	01JUL1974	50	Deceased	1050
003665	L63984	26DEC1973	200	Individual	4300
003667	L119949	29JAN1974	100	Individual	2150
003683	L149889	20MAR1974	50	Individual	1050
003711	L92119	07NOV1973	1000	Individual	21500
003722	L60757	07FEB1974	50	Individual	1050
003736	L149622	28FEB1974	100	Individual	2100
003744	L107504	08JUN1974	100	Individual	2100
003750	L123704	30APR1974	500	Individual	10500
003752	L161609	08MAR1974	100	Individual	2100
003759	L138660	30AUG1974	100	Individual	2100
003790	L68319	14APR1974	1000	Individual	21000
003815	L72014	05AUG1974	100	Individual	2100
003831	L119124	18JAN1974	100	Individual	2150
003855	L144459	15AUG1974	500	Deceased	10500
003869	L159352	15FEB1974	50	Individual	1050
003880	L163146	08MAY1974	200	Individual	4200
003883	L140359	20JAN1974	100	Individual	2150
003894	L46633	13APR1974	100	Individual	2100
003898	L153393	15AUG1974	100	Individual	2100
003903	L105621	20DEC1973	500	Deceased	10750
003905	L163026	15JUN1974	100	Group	2100
003914	L124094	12SEP1974	100	Individual	2100
003929	L117473	01APR1974	50	Individual	1050
003931	L140494	27JUN1974	1000	Individual	21000
003938	L115476	01MAR1974	100	Individual	2100
003965	L131871	09AUG1974	200	Individual	4200
003967	L94744	16APR1974	100	Group	2100
003970	L170134	26APR1974	100	Individual	2100
003973	L138419	10APR1974	100	Individual	2100
003990	L60826	15MAR1974	200	Individual	4200
003991	L124686	25JAN1974	100	Deceased	2150
004014	L57340	07FEB1974	500	Individual	10500
004056	L106150	25DEC1974	1000	Individual	21000
004066	L99331	09JUL1974	500	Individual	10500
004101	L96412	16FEB1974	100	Individual	2100
004125	L130846	01MAY1974	200	Individual	4200
004150	L69762	30MAR1974	100	Individual	2100
004160	L32886	25JUN1974	100	Individual	2100
004166	L109033	22SEP1974	200	Individual	4200
004186	L65051	21JAN1975	1000	Individual	21000
004187	L49341	31OCT1974	100	Individual	2100
004208	L72460	02JUL1974	100	Individual	2100
004226	L28673	01JUL1974	200	Individual	4200
004230	L88086	15APR1974	100	Individual	2100
004235	L96645	07NOV1974	500	Individual	10500
004243	L140903	04JUN1974	200	Individual	4200
004248	L41626	30AUG1974	100	Individual	2100
004257	L47702	02FEB1975	1000	Individual	2170
004270	L128044	16JUN1974	100	Deceased	2100
004273	L71212	01OCT1974	100	Individual	2100
004295	L32027	11JUL1974	1000	Individual	21000
004301	L124559	25NOV1974	100	Individual	2100
004302	L59098	20AUG1974	500	Individual	10500
004307	L58875	04JUL1974	100	Deceased	2100
004308	L97140	06AUG1974	50	Individual	1050
004330	L160867	09DEC1974	200	Individual	4200
004336	L26435	27JUL1974	500	Individual	10500
004349	L77011	21OCT1974	1000	Individual	21000
004356	L51613	02JUN1974	500	Individual	10500
004383	L153196	03JAN1975	1000	Individual	21000
004385	L161686	05DEC1974	100	Individual	2100
004394	L52702	20MAR1975	1000	Individual	2170
004400	L152785	19JAN1975	50	Individual	1050
004413	L151410	09AUG1974	500	Individual	10500
004419	L50342	12MAR1975	200	Deceased	434
004420	L99336	26JUN1974	500	Group	10500
004422	L62967	16SEP1974	200	Individual	4200
004438	L130941	27SEP1974	100	Group	2100
004439	L85725	12APR1975	100	Deceased	217
004440	L52195	30NOV1974	1000	Individual	21000
004452	L114134	09JAN1975	200	Individual	4200
004463	L88051	06JAN1975	1000	Individual	21000
004477	L31426	01MAY1975	100	Individual	217
004495	L65848	27FEB1975	200	Individual	434
004514	L121017	10JUN1975	200	Individual	434
004518	L153404	08JUL1975	200	Individual	434
004524	L74493	21NOV1974	100	Individual	2100
004529	L34990	16JAN1975	200	Individual	4200
004532	L50447	27DEC1974	1000	Individual	21000
004537	L124029	07JUL1975	100	Individual	217
004543	L100522	28FEB1975	500	Individual	1085
004560	L90898	02MAY1975	100	Individual	217
004564	L130246	15JAN1975	200	Individual	4200
004576	L152650	08OCT1974	100	Individual	2100
004582	L35012	14FEB1975	100	Individual	217
004605	L83943	10AUG1975	500	Individual	1085
004608	L45158	25MAR1975	500	Deceased	1085
004612	L54963	15JUN1975	50	Individual	108.5
004635	L167247	28OCT1974	50	Individual	1050
004648	L158162	22JAN1975	100	Individual	2100
004678	L127980	13JUN1975	200	Group	434
004692	L143401	14AUG1975	200	Individual	434
004693	L78876	06NOV1974	100	Deceased	2100
004703	L27968	20JUN1975	100	Individual	217
004707	L62414	24JUL1975	100	Individual	217
004719	L56406	15FEB1975	50	Individual	108.5
004721	L34386	30JUN1975	500	Individual	1085
004734	L98782	30DEC1974	1000	Individual	21000
004754	L87017	23MAY1975	200	Individual	434
004755	L148320	10MAR1975	1000	Individual	2170
004761	L94790	05MAY1975	100	Individual	217
004762	L103984	02MAY1975	200	Individual	434
004765	L142269	17DEC1974	200	Individual	4200
004774	L156980	09FEB1975	500	Group	1085
004793	L40118	14JUL1975	50	Individual	108.5
004800	L125725	02JUL1975	100	Group	217
004824	L51968	09APR1975	500	Individual	1085
004840	L36907	28FEB1975	500	Individual	1085
004847	L43688	27MAR1975	100	Individual	217
004864	L122141	15AUG1975	100	Deceased	217
004877	L21667	05DEC1975	200	Individual	434
004887	L143514	29JUL1975	200	Individual	434
004889	L63315	11DEC1975	100	Group	217
004901	L89205	19AUG1975	1000	Individual	2170
004911	L103693	07AUG1975	50	Individual	108.5
004922	L146256	06JAN1976	100	Group	217
004931	L70597	15JUL1975	1000	Individual	2170
004941	L115382	17MAR1975	50	Individual	108.5
004972	L132966	28JUL1975	500	Individual	1085
004986	L59048	08MAY1975	500	Individual	1085
004989	L94041	07SEP1975	100	Individual	217
004995	L124929	08NOV1975	500	Individual	1085
005017	L95639	06OCT1975	500	Deceased	1085
005026	L98165	25MAR1975	500	Individual	1085
005032	L21153	17NOV1975	200	Individual	434
005066	L83710	13JUL1975	500	Individual	1085
005077	L68962	27APR1975	200	Individual	434
005087	L130377	03JUN1975	100	Individual	217
005102	L105989	25NOV1975	500	Individual	1085
005107	L153477	03MAY1975	200	Individual	434
005111	L129283	16NOV1975	100	Individual	217
005114	L156082	30OCT1975	200	Individual	434
005129	L114603	24OCT1975	50	Individual	108.5
005131	L150689	16APR1976	50	Individual	107
005138	L82018	07APR1976	50	Individual	107
005141	L34635	01JUN1975	500	Individual	1085
005169	L28978	26JUL1975	200	Individual	434
005171	L120538	20APR1976	100	Individual	214
005172	L74476	04APR1976	200	Group	428
005181	L155969	29OCT1975	100	Individual	217
005217	L144805	09FEB1976	200	Individual	428
005220	L53802	15FEB1976	200	Individual	428
005236	L73952	16AUG1975	100	Individual	217
005240	L84780	17AUG1975	100	Individual	217
005256	L148484	29JAN1976	200	Individual	434
005260	L146028	26MAY1976	200	Individual	428
005287	L103763	27AUG1975	200	Individual	434
005291	L116607	12SEP1975	1000	Individual	2170
005303	L120138	10JUN1976	100	Individual	214
005308	L152428	28APR1976	200	Individual	428
005320	L170691	15NOV1975	200	Individual	434
005338	L148399	18APR1976	50	Individual	107
005339	L132199	09MAY1976	200	Individual	428
005349	L112390	22NOV1975	100	Individual	217
005353	L22504	10SEP1975	500	Individual	1085
005361	L151628	05NOV1975	50	Group	108.5
005394	L146626	03MAY1976	1000	Group	2140
005400	L29477	27JUL1976	100	Individual	214
005473	L74045	02MAY1976	1000	Deceased	2140
005477	L94778	28MAR1976	100	Group	214
005487	L73874	26MAR1976	1000	Individual	2140
005492	L169368	05AUG1976	100	Group	214
005496	L131452	17MAR1976	500	Individual	1070
005504	L100589	14MAR1976	50	Individual	107
005522	L97940	20AUG1976	200	Individual	428
005579	L69266	21DEC1975	200	Individual	434
005603	L84547	29MAY1976	200	Individual	428
005610	L87973	26AUG1976	50	Group	107
005611	L167234	16MAY1976	1000	Individual	2140
005638	L102131	02FEB1976	100	Individual	214
005641	L120412	10MAR1976	1000	Individual	2140
005655	L45534	13JAN1976	200	Individual	434
005657	L157340	28JUN1976	200	Individual	428
005664	L148590	01FEB1976	500	Individual	1070
005671	L85137	23SEP1976	50	Individual	107
005677	L80565	17MAY1976	200	Individual	428
005688	L158512	14DEC1975	500	Individual	1085
005701	L132431	13JAN1976	100	Individual	217
005707	L81940	04SEP1976	50	Individual	107
005709	L130738	05FEB1976	100	Individual	214
005711	L63061	21SEP1976	200	Individual	428
005716	L129960	06MAY1976	100	Individual	214
005723	L74031	21JAN1976	100	Individual	217
005734	L92564	26JAN1976	100	Individual	217
005757	L63297	31JUL1976	500	Individual	1070
005765	L115152	20MAR1976	100	Individual	214
005785	L125606	13OCT1976	200	Individual	428
005823	L61020	22FEB1976	1000	Individual	2140
005827	L111043	21AUG1976	500	Individual	1070
005828	L104578	26NOV1976	50	Individual	107
005832	L138147	20JUL1976	200	Individual	428
005838	L36229	04JUN1976	500	Individual	1070
005854	L142289	24MAY1976	1000	Individual	2140
005859	L48694	11AUG1976	500	Deceased	1070
005866	L77994	13NOV1976	100	Individual	214
005889	L77046	17AUG1976	1000	Individual	2140
005905	L128168	15APR1976	200	Individual	428
005906	L113281	28JUL1976	200	Individual	428
005930	L139021	27JUL1976	200	Deceased	428
005933	L156376	06SEP1976	100	Individual	214
005934	L149287	01FEB1976	100	Individual	214
005936	L127624	04JUN1976	100	Individual	214
005966	L104151	01SEP1976	200	Individual	428
005994	L168132	08JAN1977	500	Individual	1070
005995	L30488	30JUN1976	100	Individual	214
006014	L119897	20JUL1976	1000	Individual	2140
006022	L41100	06OCT1976	100	Individual	214
006023	L141762	10SEP1976	100	Individual	214
006031	L131497	19OCT1976	500	Individual	1070
006042	L23521	13APR1976	500	Individual	1070
006062	L59115	29APR1976	100	Individual	214
006065	L155012	04OCT1976	500	Individual	1070
006087	L25086	25SEP1976	100	Individual	214
006096	L103400	03OCT1976	100	Individual	214
006098	L96409	29NOV1976	50	Individual	107
006102	L144488	28JAN1977	1000	Individual	2140
006123	L167046	27MAY1976	100	Group	214
006130	L53150	01SEP1976	500	Individual	1070
006131	L128033	20JAN1977	100	Individual	214
006133	L130624	26JUN1976	500	Individual	1070
006135	L125389	10MAY1977	100	Individual	211
006149	L43311	11JUN1976	100	Individual	214
006159	L25618	01DEC1976	100	Individual	214
006162	L157907	31DEC1976	200	Individual	428
006170	L45352	11OCT1976	50	Group	107
006176	L79120	04JAN1977	100	Individual	214
006179	L50217	02FEB1977	1000	Individual	2110
006186	L60387	10APR1977	200	Individual	422
006188	L151741	03JAN1977	100	Individual	214
006203	L121108	15JUN1977	500	Individual	1055
006218	L100297	24NOV1976	200	Individual	428
006220	L109404	21DEC1976	100	Group	214
006223	L118727	10APR1977	500	Group	1055
006227	L170765	22JUN1977	500	Individual	1055
006239	L161724	30MAY1977	100	Individual	211
006243	L144939	03MAY1977	100	Individual	211
006251	L159492	12OCT1976	200	Group	428
006259	L113458	17OCT1976	1000	Individual	2140
006268	L125559	28MAY1977	50	Individual	105.5
006272	L53800	21AUG1976	50	Individual	107
006274	L116747	25AUG1976	500	Individual	1070
006275	L69637	09FEB1977	500	Individual	1055
006286	L62509	18AUG1977	200	Individual	422
006290	L166945	14SEP1976	500	Individual	1070
006291	L137609	20MAR1977	50	Individual	105.5
006295	L166223	24FEB1977	200	Individual	422
006305	L149763	28OCT1976	100	Individual	214
006313	L81654	09NOV1976	100	Group	214
006321	L79751	31JUL1977	100	Deceased	211
006331	L121072	16JAN1977	1000	Individual	2140
006336	L111409	15FEB1977	500	Individual	1055
006344	L53531	02NOV1976	100	Individual	214
006353	L86709	04OCT1977	100	Individual	211
006356	L102828	05DEC1976	100	Individual	214
006404	L60550	20JUN1977	200	Individual	422
006435	L22080	19MAR1977	100	Individual	211
006437	L120409	23OCT1977	200	Individual	422
006472	L35920	02OCT1977	50	Individual	105.5
006474	L61058	21AUG1977	500	Individual	1055
006484	L138480	03JAN1977	50	Individual	107
006503	L66338	04NOV1977	100	Individual	211
006509	L165148	18OCT1977	500	Individual	1055
006519	L98603	31AUG1977	100	Individual	211
006532	L58759	11FEB1977	1000	Individual	2110
006538	L167200	26DEC1976	200	Individual	428
006562	L88704	09JAN1977	500	Individual	1070
006586	L139525	01FEB1977	500	Individual	1055
006611	L81208	30AUG1977	500	Individual	1055
006618	L22312	30MAR1977	200	Group	422
006625	L29672	24AUG1977	50	Individual	105.5
006659	L74396	24JAN1978	100	Individual	211
006668	L23327	15MAR1977	100	Individual	211
006672	L27489	29DEC1977	500	Individual	1055
006691	L164117	06MAR1977	500	Individual	1055
